gvkey,company_name,cluster,proximity_score,trends_score,relative_score,overall_score
297222,NORMA GROUP SE,1,34.06173217032589,97.7355373852038,50.11427927415842,13.624692868130357
313972,TELEFONICA DEUTSCHLAND,1,22.63554988502725,93.04720104318925,53.787223311406706,9.0542199540109
315541,OSRAM LICHT AG,1,4.3588588295883985,91.78072560225088,46.273981223555836,1.7435435318353596
315582,STABILUS SE,2,27.757160516482294,93.49831524413565,51.270778385447144,11.102864206592919
317079,SCOUT24 SE,1,35.7182926806598,99.5599039189465,49.935147106614025,14.287317072263921
318434,ZALANDO SE,2,25.77189581186032,99.80006384942645,51.364603618985655,10.308758324744128
318452,ROCKET INTERNET SE,0,5.697516261139982,79.99464729846966,49.69262130259553,2.279006504455993
318659,HELLA GMBH & CO. KGAA,2,38.773495571686176,95.08609758287044,48.50201373348936,15.50939822867447
319665,ALLANE SE,1,26.157415407496494,99.6051013325517,49.02877557485002,10.462966162998597
319865,SILTRONIC AG,2,40.192998427209865,85.45470443333305,52.314763705395386,16.077199370883946
320124,SCHAEFFLER AG,1,35.35626695101202,99.56006094646249,51.180385278512226,14.142506780404808
320448,COVESTRO AG,2,37.92576648113187,81.56829052792654,48.09196160090903,15.17030659245275
321632,UNIPER SE,2,0.14650166057722513,70.97113999126427,57.27517568462736,0.058600664230890054
322597,INNOGY SE,1,16.222333339001928,70.8818377509725,49.01193924150522,6.4889333356007715
324859,DELIVERY HERO SE,1,3.924994058884502,95.65819143246554,55.63819397451671,1.569997623553801
324977,METRO AG,1,32.19637687423816,99.63252761403197,47.4607418544075,12.878550749695265
325735,HELLOFRESH SE,0,1.4167929043318268,81.7284880380267,53.30244193841643,0.5667171617327308
326410,1&1 AG,2,42.66873247041811,87.72158329546129,50.792108381118446,17.067492988167242
326577,DERMAPHARM HOLDING,2,26.810713867831904,94.76907687086477,51.77075104089162,10.724285547132762
326765,SIEMENS HEALTHINEE,1,36.49787632423842,94.37352085442231,51.26869181967411,14.599150529695368
327148,SPRINGER NATURE AG,4,100.0,100.0,50.0,40.0
328745,KNORR-BREMSE AKTIE,1,26.70687416666844,99.89541850689648,51.56221330847163,10.682749666667377
329260,ENCAVIS AG,2,32.62909314134529,93.19142713725917,49.15480802951739,13.051637256538115
332311,TRATON SE,2,18.921925210183392,96.98948824659875,55.382263128427084,7.568770084073357
333885,TEAMVIEWER SE,0,11.283465919299715,81.25563452941643,49.24505337231101,4.513386367719886
340115,HENSOLDT AG,1,23.55852602062999,98.43560538734644,51.083964374670195,9.423410408251996
340153,SIEMENS ENERGY AG,2,31.69988316042967,86.80471351780226,50.16352136967579,12.67995326417187
346413,AUTO1 GROUP SE,0,11.8533494097228,76.43232429184206,48.75095822257205,4.74133976388912
347562,SYNLAB AG,2,28.42267210317803,98.99646298248821,54.2862302378913,11.369068841271213
350278,VITESCO TECHNOLOGIES GROUP,1,18.819370214184676,96.94848762020646,48.87317400240139,7.5277480856738705
351590,DAIMLER TRUCK HOLDING AG,2,32.785251294292706,72.02964938182039,51.45100011103179,13.114100517717084
354519,DR ING  H C F PORSCHE AG,2,17.92714667470823,39.769542896940905,54.22549581907522,7.170858669883292
355804,IONOS GROUP SE,0,0.032531672281622605,83.42426943459948,47.48368446280868,0.013012668912649043
358679,SCHOTT PHARMA AG & CO KGAA,1,34.077536280378865,99.43953328032111,50.45937912228225,13.631014512151546
360887,DOUGLAS AG,0,11.7082472917549,84.51441992583624,49.008330895997744,4.68329891670196
