company_name,static_score,dynamic_score,combined_score,score_change_static_to_dynamic,score_change_static_to_combined,total_score_change,abs_total_change,pattern
HELLA GMBH & CO. KGAA,55.37164176320574,38.773495571686176,64.92116593328355,-16.59814619151956,9.54952417007781,9.54952417007781,9.54952417007781,Mixed
MAN SE,33.33380236857798,42.00811489088664,60.650812450345214,8.67431252230866,27.317010081767236,27.317010081767236,27.317010081767236,Improving Trend
MTU AERO ENGINES AG,58.69322311162881,46.44984364960686,63.927500339469404,-12.243379462021949,5.234277227840593,5.234277227840593,5.234277227840593,Mixed
HOCHTIEF AG,25.194692436844484,29.97699009549709,16.756979635240103,4.782297658652606,-8.43771280160438,-8.43771280160438,8.43771280160438,Challenged
DR ING  H C F PORSCHE AG,56.485850920077695,17.92714667470823,50.029694465733776,-38.55870424536947,-6.456156454343919,-6.456156454343919,6.456156454343919,Mixed
KION GROUP AG,64.17510131008788,29.307151486832744,71.8859624544689,-34.86794982325514,7.710861144381013,7.710861144381013,7.710861144381013,Mixed
HEIDELBERGER DRUCKMASCHINEN,41.88607289432122,32.194522777844455,49.392493680696404,-9.691550116476762,7.5064207863751875,7.5064207863751875,7.5064207863751875,Mixed
E.ON SE,42.15936168070574,8.732327646635568,62.27215991094916,-33.427034034070175,20.11279823024342,20.11279823024342,20.11279823024342,Improving Trend
BAYER AG,40.585031274855275,36.191743383418554,52.67585871995051,-4.393287891436721,12.090827445095236,12.090827445095236,12.090827445095236,Mixed
BEIERSDORF AG,46.36208258967073,26.67795292815479,69.97508301883911,-19.684129661515936,23.613000429168387,23.613000429168387,23.613000429168387,Improving Trend
RHOEN-KLINIKUM AG,25.92131475197589,49.69963025735809,36.507005895661266,23.7783155053822,10.585691143685377,10.585691143685377,10.585691143685377,Challenged
DELIVERY HERO SE,52.33742014212608,3.924994058884502,43.77474222176879,-48.41242608324158,-8.562677920357288,-8.562677920357288,8.562677920357288,Mixed
AUDI AG,45.046236162487894,28.287119777605792,53.97169425180574,-16.759116384882102,8.925458089317843,8.925458089317843,8.925458089317843,Mixed
CONTINENTAL AG,63.53647843641448,21.904214761242425,60.26234881463019,-41.632263675172055,-3.27412962178429,-3.27412962178429,3.27412962178429,Mixed
BILFINGER SE,38.23597607795673,30.257203688298418,57.86570543766829,-7.97877238965831,19.62972935971156,19.62972935971156,19.62972935971156,Mixed
DEUTSCHE LUFTHANSA AG,37.2728466289966,27.42964169742911,49.85661232672241,-9.843204931567488,12.583765697725816,12.583765697725816,12.583765697725816,Mixed
THYSSENKRUPP AG,45.31350713217357,37.07581813503573,73.86112724359744,-8.237688997137838,28.547620111423868,28.547620111423868,28.547620111423868,Improving Trend
NORMA GROUP SE,54.6737334224031,34.06173217032589,60.959507226717115,-20.612001252077214,6.285773804314012,6.285773804314012,6.285773804314012,Mixed
1&1 AG,43.51084234895639,42.66873247041811,51.53679946365672,-0.842109878538281,8.025957114700333,8.025957114700333,8.025957114700333,Mixed
GERRESHEIMER GROUP,53.033098454816795,34.42669379905668,61.87900556408169,-18.606404655760116,8.845907109264893,8.845907109264893,8.845907109264893,Mixed
SCHOTT PHARMA AG & CO KGAA,36.13269404222571,34.077536280378865,46.53685388587489,-2.055157761846843,10.404159843649182,10.404159843649182,10.404159843649182,Mixed
LECHWERKE AG,12.585667993841856,23.86459168262868,48.778619543909166,11.278923688786826,36.192951550067306,36.192951550067306,36.192951550067306,Improving Trend
PUMA SE,46.97070987556481,23.651733398372492,51.59912442099397,-23.318976477192315,4.628414545429159,4.628414545429159,4.628414545429159,Mixed
FUCHS SE,26.71221222840034,30.128556455915284,34.70580931454196,3.4163442275149443,7.9935970861416195,7.9935970861416195,7.9935970861416195,Challenged
KLOCKNER & CO SE,26.702037620580672,33.67233954218486,65.40343463761258,6.970301921604186,38.70139701703191,38.70139701703191,38.70139701703191,Improving Trend
GELSENWASSER AG,59.117761508142216,26.42948936906599,65.5957972223435,-32.688272139076226,6.47803571420129,6.47803571420129,6.47803571420129,Mixed
PORSCHE AUTOMOBIL HOLDING SE,0.0,0.02400645377604867,0.48329955231572674,0.02400645377604867,0.48329955231572674,0.48329955231572674,0.48329955231572674,Challenged
AUTO1 GROUP SE,10.039709925541217,11.8533494097228,24.432876651070895,1.8136394841815822,14.393166725529678,14.393166725529678,14.393166725529678,Challenged
FRESENIUS MEDICAL CARE AG,65.6136310968485,36.7168175402463,66.71315913226759,-28.89681355660219,1.0995280354190982,1.0995280354190982,1.0995280354190982,Mixed
DEUTSCHE POST AG,46.178010068726984,12.218806323196114,59.42538605019742,-33.95920374553087,13.247375981470434,13.247375981470434,13.247375981470434,Mixed
BAUER AG,54.92985229865458,50.65899733359998,63.05998422487728,-4.270854965054603,8.130131926222703,8.130131926222703,8.130131926222703,Mixed
VTG AG,25.35875086291136,32.10965041089731,37.36439399842465,6.750899547985949,12.005643135513292,12.005643135513292,12.005643135513292,Challenged
TUI AG,13.656660291232434,26.526196336946345,14.279939278695043,12.869536045713911,0.6232789874626086,0.6232789874626086,0.6232789874626086,Challenged
DRAEGERWERK AG,59.455983705149904,37.60884050893325,57.51936554790045,-21.847143196216656,-1.9366181572494554,-1.9366181572494554,1.9366181572494554,Mixed
BERTELSMANN SE & CO KGAA,64.43868821259645,30.386539457888702,71.9296102718913,-34.052148754707744,7.49092205929486,7.49092205929486,7.49092205929486,Mixed
KRONES AG,53.406866222456564,36.726802901514084,71.814148956431,-16.68006332094248,18.407282733974434,18.407282733974434,18.407282733974434,Mixed
MAINOVA AG,48.83717605852821,48.44589915411483,63.5716446634548,-0.39127690441338103,14.73446860492659,14.73446860492659,14.73446860492659,Mixed
DAIMLER TRUCK HOLDING AG,57.955231614318905,32.785251294292706,78.96367140984644,-25.1699803200262,21.008439795527536,21.008439795527536,21.008439795527536,Mixed
HUGO BOSS AG,35.68265081289576,23.985205257714973,40.99463783618958,-11.697445555180785,5.311987023293824,5.311987023293824,5.311987023293824,Mixed
CARL ZEISS MEDITEC AG,59.087502875500476,40.49178768605061,73.67837763139221,-18.59571518944987,14.590874755891733,14.590874755891733,14.590874755891733,Mixed
SGL CARBON SE,53.979912739296545,18.77345078748798,54.86786735170771,-35.20646195180856,0.8879546124111641,0.8879546124111641,0.8879546124111641,Mixed
HORNBACH-BAUMARKT AG,48.14013628597973,37.97269012128604,72.59097530482327,-10.167446164693686,24.450839018843546,24.450839018843546,24.450839018843546,Improving Trend
METRO AG,15.245125742455798,32.19637687423816,56.0339751525243,16.951251131782364,40.7888494100685,40.7888494100685,40.7888494100685,Improving Trend
SALZGITTER AG,54.88311525607824,44.92482229425717,62.048274753634345,-9.958292961821073,7.165159497556104,7.165159497556104,7.165159497556104,Mixed
SILTRONIC AG,14.06495203778686,40.192998427209865,34.4143951282619,26.128046389423005,20.34944309047504,20.34944309047504,20.34944309047504,Improving Trend
NORDEX SE,50.600420454272985,24.46263594619272,52.3087655051257,-26.137784508080266,1.7083450508527136,1.7083450508527136,1.7083450508527136,Mixed
K&S AG,24.35810006641924,31.1141731230622,58.5582863324144,6.756073056642961,34.20018626599516,34.20018626599516,34.20018626599516,Improving Trend
VOLKSWAGEN AG,61.15326221711275,15.629718670457368,70.04517740160026,-45.523543546655375,8.891915184487509,8.891915184487509,8.891915184487509,Mixed
MCKESSON EUROPE AG,26.78250947370639,18.929816232565877,65.48913181023227,-7.852693241140514,38.706622336525875,38.706622336525875,38.706622336525875,Improving Trend
CECONOMY AG,14.048718581662861,10.206483151227562,21.42190554576337,-3.8422354304352986,7.373186964100508,7.373186964100508,7.373186964100508,Challenged
JENOPTIK AG,64.42670912599525,27.385248172897292,61.91413272425266,-37.04146095309795,-2.512576401742585,-2.512576401742585,2.512576401742585,Mixed
LANXESS AG,23.509006305855458,31.806920139909217,72.48197278952931,8.297913834053759,48.97296648367385,48.97296648367385,48.97296648367385,Improving Trend
SIEMENS AG,63.51910774563312,15.329273335923297,63.01758476423994,-48.189834409709825,-0.5015229813931796,-0.5015229813931796,0.5015229813931796,Mixed
BLG-BREMER LAGERHAUS-GESELLS,0.273689661427767,30.299935094695453,0.289467870436174,30.026245433267686,0.015778209008406985,0.015778209008406985,0.015778209008406985,Challenged
HORNBACH HOLDING AG & CO,45.000066682004864,39.92958018913743,76.12704496270119,-5.070486492867431,31.126978280696328,31.126978280696328,31.126978280696328,Improving Trend
SUEDZUCKER AG,53.70933611337411,33.6906002892642,71.58846257731399,-20.01873582410991,17.879126463939883,17.879126463939883,17.879126463939883,Mixed
CLAAS KG,48.71202297178638,56.25387523500228,67.1053747051196,7.541852263215901,18.39335173333322,18.39335173333322,18.39335173333322,Mixed
COMPUGROUP MEDICAL SE & CO,68.50895258557487,30.319843490869186,69.94801851165606,-38.189109094705685,1.4390659260811844,1.4390659260811844,1.4390659260811844,Mixed
MERCEDES BENZ GROUP AG,70.24648481791877,0.7178480800721243,71.20489718315277,-69.52863673784664,0.9584123652339969,0.9584123652339969,0.9584123652339969,Eroding Position
KABEL DEUTSCHLAND HOLDING AG,10.164975975716201,17.942693791376623,14.144739505682228,7.777717815660422,3.979763529966027,3.979763529966027,3.979763529966027,Challenged
