gvkey,conm,cluster,cluster_name,static_score,dynamic_score,combined_score,cluster_name_enhanced,roa,roe,ebit_margin,gross_margin,fcf_margin,current_ratio,debt_to_equity,financial_leverage,roa_trend
223089,HORNBACH-BAUMARKT AG,0,Upper-Mid,58.054273107664166,32.010929937079524,42.42826720531338,Upper-Mid (Challenged),5.0099031036552155,6.905259376777323,3.764985442126982,40.50557139651597,3.279557681467171,1.5049629393530888,0.9277199389349537,2.630632502170204,-0.0895250074624538
269104,BAUER AG,0,Upper-Mid,52.80386794839219,34.97154273681953,42.104472821448596,Upper-Mid (Challenged),3.4268730614848595,1.8419912455812864,2.8213285711351723,43.23621487398007,0.6193172204906234,1.1904406521258022,0.4359291548058195,3.408704208356785,0.09769851549425758
203162,HORNBACH HOLDING AG & CO,0,Upper-Mid,58.13868756587441,31.28960125849988,42.02923578144969,Upper-Mid (Challenged),5.816661765123392,7.194612900685201,4.328910906132253,38.39518102370826,2.4596495251846413,1.5033992575605923,0.665582625612554,2.3597930383391517,0.009996170332922731
269835,BRENNTAG SE,0,Upper-Mid,50.38928930111874,35.60401495731964,41.51812469483928,Upper-Mid (Challenged),7.572848817278026,11.344066685002224,5.441757916907879,24.797689285230394,3.4759259487356355,1.4630843539761946,0.5427888378784352,2.468529841115366,0.043212285047499945
315582,STABILUS SE,0,Upper-Mid,64.34167130655683,25.75889709626345,41.19200678038081,Upper-Mid (Challenged),6.6206392002043035,10.798791756492461,9.68760863938692,32.34884671872678,10.982858140507195,1.9672676484652087,1.2168544737477862,2.9404203000912488,0.026571218762340643
17436,BASF SE,0,Upper-Mid,62.970561433634295,26.270787164658177,40.95069687224863,Upper-Mid (Challenged),3.561524591183237,3.646169836231355,4.388599448360404,31.512411890897944,1.1461844927980387,1.832971418510476,0.574594791988539,2.2589117671844714,-0.5203910451744728
220301,MERCK KGAA,0,Upper-Mid,32.23043986777179,46.36622567241364,40.7119113505569,Upper-Mid (Challenged),7.923672115888068,9.2838994383525,19.313669880884856,67.73492153526186,13.632066553223671,1.190897821852311,0.2339194971917625,1.7239569403583845,0.2786517320756374
326765,SIEMENS HEALTHINEE,0,Upper-Mid,61.71721702581395,26.060675564155133,40.32329214881866,Upper-Mid (Challenged),6.099229182499186,10.670915984394746,12.560926530429729,42.94146581406788,9.52466127084917,1.247991013566059,0.7393263366119017,2.5306335512940272,-0.6954263309959278
102529,PAUL HARTMANN AG,0,Upper-Mid,37.60464606196823,42.05489194682328,40.27479359288127,Upper-Mid (Challenged),5.177639955249784,9.44252269602777,4.477698078984252,56.94385357407866,2.4759666914007754,2.3513525703669496,0.22969416193823686,1.8265367868501912,-0.7493667234037724
212782,FRESENIUS MEDICAL CARE AG,0,Upper-Mid,66.67066249927232,21.440986103756373,39.532856661962754,Upper-Mid (Challenged),4.5860318383949705,3.6902594939561544,7.9612186838487915,32.26893548164713,8.723592979259468,1.3997632533930735,0.6696120340576855,2.3027773419563995,-0.5856538257175631
218000,JENOPTIK AG,0,Upper-Mid,49.791674709676755,32.18927322380362,39.23023381815287,Upper-Mid (Challenged),8.452944783618936,9.475840251911569,13.181906582528743,39.989800920785065,7.518011950309512,2.257210994682095,0.4830585513210467,1.8118733319657578,-0.017698382597963393
222340,DUERR AG,0,Upper-Mid,50.181550101405584,30.49136486396158,38.36743895893918,Upper-Mid (Challenged),3.0422778517086395,5.068676090351879,3.5296727800181595,24.405421101596474,6.265136557618198,1.3023979142368434,0.9942512895223845,4.083795166095733,-0.5956246158064404
248166,MAINOVA AG,0,Upper-Mid,48.65476174409162,31.07416106160131,38.106401334597436,Upper-Mid (Challenged),3.571736141172149,13.842840833217496,4.827384728518385,18.681391528759182,-1.1052125672643396,1.0428113496444396,0.40893012995950584,2.397348853425822,-0.041379652716437204
238442,CARL ZEISS MEDITEC AG,0,Upper-Mid,43.65615586498945,33.3780183016622,37.4892733269931,Upper-Mid (Challenged),5.523105033596605,8.753796474207485,9.07059440198981,55.91824703902519,7.7683995223914115,2.131519684970158,0.2579995954345821,1.6619508183633516,-0.1532711850686681
