gvkey,company_name,years_available,roa_trend,roa_trend_r2,roa_volatility,roe_trend,roe_trend_r2,roe_volatility,ebit_margin_trend,ebit_margin_trend_r2,ebit_margin_volatility,revt_trend,revt_trend_r2,revt_volatility,revt_cagr,debt_to_equity_trend,debt_to_equity_trend_r2,debt_to_equity_volatility,fcf_trend,fcf_trend_r2,fcf_volatility,cluster,cluster_name,proximity_score,trends_score,relative_score,overall_score,cluster_name_enriched
101161,GELSENWASSER AG,11,-0.22518690042393547,0.5627124993858175,0.9492920461609282,-0.16560992262302696,0.09021678878685692,1.7435831846248302,-0.45026659982584105,0.7170057433575504,1.6815446961912393,634.6327272727274,0.31955646934434084,3550.165974562619,12.617147819605234,0.025536537839014918,0.8287809000643339,0.08870378462007979,-3.434545454545456,0.18926771440543586,24.96496718958107,0,Upper-Mid,24.552019101309977,83.56939336467853,50.12663944842944,9.820807640523991,Upper-Mid (Strongly Growing)
101286,LEONI AG,9,-1.609428521142559,0.4392066925078742,6.270347201124659,2.825916086743666,0.010245574288206554,72.08509561390623,-1.0817639148309188,0.3797682293272281,4.532392851504088,85.58336666666666,0.3256418439590064,387.23413571171005,2.738246026454627,0.28609229806830583,0.12307600525387834,2.1055901529007994,-14.822900000000006,0.18517120465670062,88.94075734810401,0,Upper-Mid,27.78946645872637,82.21959133499178,47.65854699290348,11.115786583490548,Upper-Mid (Strongly Growing)
101942,HENKEL AG & CO KGAA,11,-0.5473890250484145,0.7328551278800158,2.022027325018474,-0.8900168753756615,0.7182492289534603,3.3209371542503607,-0.48889910488203714,0.4629066347167239,2.2723359500604876,454.2181818181818,0.7859325624624647,1620.2121073264675,2.768199524629389,0.0002776439271286149,0.0002703952541836833,0.05339353146889914,33.654545454545456,0.033629058984863444,580.3451666006139,0,Upper-Mid,22.598314592313706,88.1208785246899,49.64843101501996,9.039325836925483,Upper-Mid (Strongly Growing)
103255,BERTELSMANN SE & CO KGAA,11,-0.24899129881294219,0.6123139128183631,1.0062296421159105,0.12754413986492835,0.014294889046661492,3.3734176660099298,-0.12080893838745095,0.0868021911186794,1.2966827217756014,326.03636363636366,0.7409880899708078,1197.7341348777031,1.2952964931802757,0.001965894725280636,0.0030580597272114787,0.11241836785850907,31.172727272727276,0.050178123609309504,440.065772694856,0,Upper-Mid,28.09495012690822,87.80872269761656,46.961639378118754,11.237980050763289,Upper-Mid (Strongly Growing)
103487,SAP SE,11,-0.34827578780375784,0.4290588683780327,1.681375991415174,-0.846378100394438,0.5137349003268631,3.734176852727252,-0.4645395458999519,0.31471603455531205,2.6185643794031623,1477.7727272727275,0.9724345946140972,4738.898937569345,6.885716278324261,-0.019698545520434443,0.31817300321781034,0.110433922149667,261.4727272727273,0.4554578179633773,1225.1868199591656,0,Upper-Mid,39.24726898530388,81.93146864274318,51.29783767555657,15.698907594121554,Upper-Mid (Strongly Growing)
104357,KABEL DEUTSCHLAND HOLDING AG,8,0.48104554114919346,0.2590012466878821,2.1657828876247094,-14.10844208902471,0.9060577399511475,33.96102380630971,1.0855360562517546,0.5146961303863442,3.4669569849098005,104.99522619047619,0.9618456152186774,245.29941949250383,4.761510509880074,-0.4984373454168558,0.7976576398854591,1.2787391491593278,62.58258333333333,0.7643523557899471,164.01604442739549,0,Upper-Mid,14.823919263223722,91.84225521689491,53.05191200222824,5.9295677052894895,Upper-Mid (Strongly Growing)
132740,INFINEON TECHNOLOGIES AG,11,0.2870969951901389,0.12255804615684959,2.593329693631996,-0.08819421800622716,0.004720830705690277,4.059110747218444,1.045090374696417,0.5495697063287116,4.458024544544818,1158.4363636363637,0.9049568169853967,3850.864644777416,13.221855279125116,0.015434620869160027,0.09341334312242103,0.15969506979403705,93.02727272727273,0.26497648989840955,571.4873446752491,0,Upper-Mid,31.235767526661697,95.92859203546294,50.034106522194776,12.494307010664679,Upper-Mid (Strongly Growing)
202305,FRESENIUS SE & CO KGAA,11,-0.6014501900591713,0.8343323599606017,2.082236822640107,-0.9208599646824854,0.6849594788227638,3.5185291385387285,-0.8000602505664848,0.7836426553184878,2.858009447736218,154.43636363636364,0.006010686667819464,6299.230824093256,-0.6187280154999142,-0.05328287744908674,0.4034613332050313,0.2652691284320109,115.86363636363637,0.189287157272427,842.1444292218655,0,Upper-Mid,17.543908004227582,99.1126267140474,50.38738212210888,7.017563201691033,Upper-Mid (Strongly Growing)
202807,JUNGHEINRICH AG,11,-0.028349497693075276,0.0414597768357183,0.4402829708504577,-0.1395266150838681,0.10321758855304575,1.3733467500239507,0.044525976935936726,0.11129985755028808,0.42205218478075507,293.59217272727267,0.9498013587460152,952.6383915262056,7.998774371287021,-0.007560643428052483,0.03693819558410059,0.12440015408181919,28.565509090909092,0.20361999214072887,200.18510502862674,0,Upper-Mid,27.754544091649286,87.48198534162619,47.06973777790733,11.101817636659716,Upper-Mid (Strongly Growing)
204820,FIELMANN GROUP AG,11,-2.24750460233874,0.8072379246432582,7.910424888222839,-1.2587550865180135,0.7382161692609649,4.632863043734173,-1.0244609249876622,0.7953593973621308,3.632567472860279,88.3304,0.8497379344422685,303.0174881301312,6.322115167616538,0.06622835213453186,0.8183868314165408,0.2315072696227746,14.120827272727274,0.5239982861139755,61.687221240546776,0,Upper-Mid,11.630013583025722,85.69367692377732,53.4586931179869,4.652005433210289,Upper-Mid (Strongly Growing)
